item,itemLabel,latitude,longitude
http://www.wikidata.org/entity/Q1557831,Circus Gammelsdorf,48.5531,11.9475
http://www.wikidata.org/entity/Q1776792,Knaack-Klub,52.5303,13.4258
http://www.wikidata.org/entity/Q1742238,Kino Babylon,52.5258,13.4119
http://www.wikidata.org/entity/Q1654091,Forumkinos,48.1314,11.5856
http://www.wikidata.org/entity/Q1742248,Kino im Künstlerhaus,52.3728,9.74301
http://www.wikidata.org/entity/Q1778037,Kurhaus Freudenstadt,48.4607,8.41319
http://www.wikidata.org/entity/Q1415320,Filmtheater Weltspiegel,51.7561,14.332
http://www.wikidata.org/entity/Q1590736,Haus der Berliner Festspiele,52.4986,13.3286
http://www.wikidata.org/entity/Q1457817,Friedrich-Lueg-Haus,51.47666667,7.21694444
http://www.wikidata.org/entity/Q1908775,Mathäser,48.1392,11.5636
http://www.wikidata.org/entity/Q1492679,Hochofen-Lichtspiele,53.90152,10.80283
http://www.wikidata.org/entity/Q1489212,Gabriel Filmtheater,48.1433,11.5602
http://www.wikidata.org/entity/Q1468168,Isartortheater,48.1349,11.5812
http://www.wikidata.org/entity/Q1878329,Luxor,53.8721,10.6851
http://www.wikidata.org/entity/Q1590159,Aladin Music Hall,53.0558,8.88528
http://www.wikidata.org/entity/Q1925771,Metropol,53.86668,10.68586
http://www.wikidata.org/entity/Q1637463,Alhambra,52.5005,13.3084
http://www.wikidata.org/entity/Q1925775,Metropol,50.735794,7.101978
http://www.wikidata.org/entity/Q1536480,Goli Theater,51.67881,6.157919
http://www.wikidata.org/entity/Q1657924,Moviemento,52.4903,13.4235
http://www.wikidata.org/entity/Q1523386,Lichtspieltheater Ba-Ki,48.1102,11.5953
http://www.wikidata.org/entity/Q1742246,Traumstern,50.5221,8.81706
http://www.wikidata.org/entity/Q1687214,Royal Palast und Europa Studio,52.5041,13.3382
http://www.wikidata.org/entity/Q1621838,Hochhaus-Lichtspiele,52.3769,9.7317
http://www.wikidata.org/entity/Q1724204,Neues Schauspielhaus,52.4989,13.3527
http://www.wikidata.org/entity/Q1747472,Schauburg,51.0713,13.75
http://www.wikidata.org/entity/Q1749372,Pantheon,51.3389,12.3943
http://www.wikidata.org/entity/Q1454081,Magazin,53.59972222,10.00416667
http://www.wikidata.org/entity/Q1633121,Schaubühne Lindenfels,51.3318,12.3346
http://www.wikidata.org/entity/Q1521768,Latücht,53.5585,13.2692
http://www.wikidata.org/entity/Q1532043,Gloria-Theater,50.9375,6.9449
http://www.wikidata.org/entity/Q1483262,Tilsiter Lichtspiele,52.5207,13.4473
http://www.wikidata.org/entity/Q1697256,Residenz-Theater,51.219,6.78078
http://www.wikidata.org/entity/Q1823303,Lichtburg,52.5502,13.3875
http://www.wikidata.org/entity/Q1742244,Kino Koki,53.86869,10.681
http://www.wikidata.org/entity/Q1590750,Haus der Erholung,53.9406,14.1923
http://www.wikidata.org/entity/Q1823514,Lichtspiele Hoffnung,53.86335,10.69803
http://www.wikidata.org/entity/Q1954465,Museum Lichtspiele,48.131,11.5875
http://www.wikidata.org/entity/Q1772257,Neues Maxim,48.15,11.5364
http://www.wikidata.org/entity/Q1657655,Kino im Kasten,51.0303,13.7539
http://www.wikidata.org/entity/Q1546036,Greth,47.76591667,9.16
http://www.wikidata.org/entity/Q1625148,Holstentor-Lichtspiele,53.86341,10.67327
http://www.wikidata.org/entity/Q1453562,Münchner Theater für Kinder,48.1461,11.5594
http://www.wikidata.org/entity/Q1902249,Marmorhaus,52.5042,13.3344
http://www.wikidata.org/entity/Q1791672,Kulturfabrik Moabit,52.5333,13.36
http://www.wikidata.org/entity/Q1574261,Studio Filmtheater,54.32833333,10.13361111
http://www.wikidata.org/entity/Q1590621,Haus Vaterland,52.5081,13.3772
http://www.wikidata.org/entity/Q1725381,Kurtheater Hennef,50.77569,7.27522
http://www.wikidata.org/entity/Q1961846,naTo,51.3251,12.3734
http://www.wikidata.org/entity/Q1417152,Rio,53.8682,10.6914
http://www.wikidata.org/entity/Q1708054,Leerer Beutel,49.0184,12.1032
http://www.wikidata.org/entity/Q1780362,Kommunales Kino Freiburg,47.984801,7.853602
http://www.wikidata.org/entity/Q1526955,Lagerhalle Osnabrück,52.276191,8.039429
http://www.wikidata.org/entity/Q1415141,Munich Filmmuseum,48.134833333333,11.572833333333
http://www.wikidata.org/entity/Q1633002,Reform-Theater,53.87007,10.68768
http://www.wikidata.org/entity/Q1670774,Kino International (salle de cinéma),52.5203,13.4228
http://www.wikidata.org/entity/Q1925675,Metro-Kino,54.34055556,10.13388889
http://www.wikidata.org/entity/Q1532031,Gloria-Palast,52.504572,13.333282
http://www.wikidata.org/entity/Q1657960,Union-Theater,49.44219444,7.76816667
http://www.wikidata.org/entity/Q1400592,Schauburg,51.48666667,11.97444444
http://www.wikidata.org/entity/Q1283496,Eden-Lichtspiele,53.8695,10.6893
http://www.wikidata.org/entity/Q1324073,UT Connewitz,51.3088,12.3725
http://www.wikidata.org/entity/Q1414402,Filmbühne Wien,52.5036,13.3287
http://www.wikidata.org/entity/Q964283,musée du film de Potsdam,52.3953,13.0581
http://www.wikidata.org/entity/Q1034693,Capitol Schwerin,53.6298,11.4101
