item,itemLabel,latitude,longitude
http://www.wikidata.org/entity/Q28735021,Diözesan- und Pastoralbibliothek,48.3626,10.88905
http://www.wikidata.org/entity/Q28735006,Kreis- und Fahrbibliothek Hainichen,50.97697,13.11647
http://www.wikidata.org/entity/Q28737677,"Georg-Eckert-Institut - Leibniz-Institut für internationale Schulbuchforschung, Bibliothek",52.26825,10.5108
http://www.wikidata.org/entity/Q28737723,"Johann-Adam-Möhler-Institut für Ökumenik, Bibliothek",51.71378,8.75789
http://www.wikidata.org/entity/Q28737686,"Industrie- und Handelskammer Braunschweig, Bibliothek",52.2624,10.51797
http://www.wikidata.org/entity/Q28734924,Ortsbücherei Gäufelden,48.56329,8.84396
http://www.wikidata.org/entity/Q28734978,Alexander-Haas-Bibliothek der Gesellschaft für Christlich-Jüdische Zusammenarbeit in Darmstadt,49.87258,8.64457
http://www.wikidata.org/entity/Q28734998,Bibliothek des Studienzentrums der Finanzverwaltung und Justiz in Rotenburg a. d. Fulda,50.99142,9.73122
http://www.wikidata.org/entity/Q28737661,"Deutsches Elektronen-Synchrotron DESY, Bibliothek und Dokumentation",53.57677,9.87832
http://www.wikidata.org/entity/Q28737712,"LWL-Amt für Denkmalpflege, Landschafts- und Baukultur in Westfalen, Bibliothek",51.96352,7.63531
http://www.wikidata.org/entity/Q28737651,"Fachbibliothek Umwelt des Umweltbundesamtes, Standort Berlin",52.49296,13.28235
http://www.wikidata.org/entity/Q28734920,Bibliothek Schwieberdingen,48.87588,9.07375
http://www.wikidata.org/entity/Q28737718,"LWL-Archäologie für Westfalen, Zentrale Dienste, Bibliothek",51.99773,7.63448
http://www.wikidata.org/entity/Q28734922,Ortsbücherei Wolfschlugen,48.65222,9.28688
http://www.wikidata.org/entity/Q28735032,Ortsbücherei Murr,48.96092,9.26222
http://www.wikidata.org/entity/Q28737683,"Stadt Braunschweig, Rechtsreferat, Verwaltungsbücherei",52.26474,10.52594
http://www.wikidata.org/entity/Q28737741,bibliothèque du ministère fédéral des Affaires étrangères,52.51513,13.39907
http://www.wikidata.org/entity/Q28737649,"Deutsches Zentralinstitut für Soziale Fragen (DZI), Bibliothek",52.46536,13.29236
http://www.wikidata.org/entity/Q28734933,Bibliothek Abtsgmünd,48.89492,10.00412
http://www.wikidata.org/entity/Q28737684,"Verwaltungsgericht, Bibliothek",52.2714,10.52451
http://www.wikidata.org/entity/Q28734952,Öffentliche Bücherei Creglingen,49.4684,10.0331
http://www.wikidata.org/entity/Q28737652,Bibliothèque de l'Institut Français de Berlin,52.50213,13.32487
http://www.wikidata.org/entity/Q28734934,Ortsbücherei Nordheim,49.10927,9.12912
http://www.wikidata.org/entity/Q28737643,"Bibliothek des Herold - Verein für Heraldik, Genealogie und verwandte Wissenschaften",52.46217,13.2926
http://www.wikidata.org/entity/Q28737654,Bibliothek des Canisius-Kollegs,52.50877,13.3543
http://www.wikidata.org/entity/Q28737738,"Bundesamt für Justiz, Bibliothek",50.73432,7.10558
http://www.wikidata.org/entity/Q28734928,Bücherei im Alten Schulhaus Bad Boll,48.63916,9.61678
http://www.wikidata.org/entity/Q28734993,Owinger Bücherei,48.33728,8.83085
http://www.wikidata.org/entity/Q28734971,Büchereizentrale Schleswig-Holstein,54.29599,9.66631
http://www.wikidata.org/entity/Q28737711,"LWL-Institut für westfälische Regionalgeschichte, Bibliothek",51.9597,7.6314
http://www.wikidata.org/entity/Q28735014,Bibliothek Beetzendorf,52.70259,11.09005
http://www.wikidata.org/entity/Q28737655,"Abgeordnetenhaus von Berlin, Bibliothek und Dokumentation",52.50804,13.38165
http://www.wikidata.org/entity/Q28734941,Katholische Öffentliche Bücherei St. Jakobus,49.33577,8.12982
http://www.wikidata.org/entity/Q28737645,Informationszentrum und Bibliothek Berlin-Dahlem des Julius Kühn-Instituts,52.45822,13.29867
http://www.wikidata.org/entity/Q28735054,Kreisfahrbücherei Dillingen/Do.,48.56231,10.6796
http://www.wikidata.org/entity/Q28734916,Arbeitsgemeinschaft Niedersächsischer Behördenbibliotheken,52.37112,9.72971
http://www.wikidata.org/entity/Q28737653,"Staatliches Institut für Musikforschung - Preußischer Kulturbesitz, Bibliothek",52.50994,13.37072
http://www.wikidata.org/entity/Q28737713,"Landschaftsverband Westfalen-Lippe, LWL-Bibliothek",51.97078,7.64088
http://www.wikidata.org/entity/Q28737676,"Evangelisch-Lutherischen Landeskirche in Braunschweig, Predigerseminar, Bibliothek",52.26507,10.51906
http://www.wikidata.org/entity/Q28737695,"museum kunst palast, Bibliothek",51.23499,6.7731
http://www.wikidata.org/entity/Q28735047,Bibliothek der Verwaltungsgemeinschaft Bad Tennstedt,51.15511,10.83963
http://www.wikidata.org/entity/Q28735045,Stadt- und Pfarrbücherei Greding,49.0456,11.35275
http://www.wikidata.org/entity/Q28737641,Bibliothek des Ibero-Amerikanischen Instituts Preußischer Kulturbesitz,52.50691,13.36973
http://www.wikidata.org/entity/Q28737729,"GESIS - Leibniz-Institut für Sozialwissenschaften, Bibliothek Köln",50.94264,6.9519
http://www.wikidata.org/entity/Q28737693,"Herder-Institut für historische Ostmitteleuropaforschung, Bibliothek",50.80901,8.76077
http://www.wikidata.org/entity/Q28735057,Bibliothek der Bayerischen Akademie für Jagd und Natur,48.14731,11.73277
http://www.wikidata.org/entity/Q28734958,Öffentliche Bibliothek Bad Krozingen,47.91618,7.70006
http://www.wikidata.org/entity/Q28734987,Stadt- und Schulbibliothek Kelsterbach,50.06507,8.52933
http://www.wikidata.org/entity/Q28737740,"Bundesministerium für Bildung und Forschung, Bibliothek",50.70344,7.13735
http://www.wikidata.org/entity/Q28734999,Katholische Öffentliche Bücherei St. Gertrud Leimersheim,49.12461,8.34275
http://www.wikidata.org/entity/Q28734908,Bücherei im FORUM,48.39443,8.97192
http://www.wikidata.org/entity/Q28734953,Bücherei Köngen,48.68426,9.36119
http://www.wikidata.org/entity/Q28737703,"LWL - Landesmuseum für Kunst und Kulturgeschichte, Westfälisches Landesmuseum, Bibliothek",51.96138,7.62414
http://www.wikidata.org/entity/Q28737734,"Forschungszentrum Jülich GmbH, Zentralbibliothek",50.90682,6.41026
http://www.wikidata.org/entity/Q28734930,Bücherei Gemmingen,49.1551,8.98115
http://www.wikidata.org/entity/Q28737727,"Max Rubner-Institut, Bibliothek Detmold",51.92995,8.86848
http://www.wikidata.org/entity/Q28737708,"Deutsche Rentenversicherung Westfalen, Bibliothek",51.97814,7.63732
http://www.wikidata.org/entity/Q28735009,Klosterbibliothek Weltenburg,48.89924,11.82026
http://www.wikidata.org/entity/Q28735053,Schulbibliothek der Elisabeth-Selbert-Gesamtschule,50.69532,7.14842
http://www.wikidata.org/entity/Q28734938,Ortsbücherei Magstadt,48.74216,8.9648
http://www.wikidata.org/entity/Q28737646,"Deutsches Archäologisches Institut, Bibliothek der Zentrale Berlin",52.46471,13.29654
http://www.wikidata.org/entity/Q28734966,Historische Bibliothek des Museums der Barlachstadt Güstrow,53.79264,12.17166
http://www.wikidata.org/entity/Q28737697,"Stahlinstitut VDEh, Informationsbereich Technik und Bibliothek",51.23899,6.81369
http://www.wikidata.org/entity/Q28737667,"Max Rubner-Institut, Bibliothek Kiel",54.32109,10.12336
http://www.wikidata.org/entity/Q28737673,"Julius Kühn-Institut, Informationszentrum und Bibliothek Braunschweig",52.27016,10.57073
http://www.wikidata.org/entity/Q28737707,"Oberfinanzdirektion NRW Dienstsitz Münster, Bibliothek",51.93509,7.65722
http://www.wikidata.org/entity/Q28734929,Bücherei Denkendorf,48.6937,9.31839
http://www.wikidata.org/entity/Q28737691,"Deutsches Institut für tropische und subtropische Landwirtschaft GmbH, bibliothèque",51.34449,9.86046
http://www.wikidata.org/entity/Q28737735,"Deutsche Zentralbibliothek für Medizin - Leibniz-Informationszentrum Lebenswissenschaften, Bonn",50.72689,7.08691
http://www.wikidata.org/entity/Q28734932,Bibliothek im Bildungszentrum Weissacher Tal,48.92134,9.48718
http://www.wikidata.org/entity/Q28737721,"Julius-Kühn-Institut, Informationszentrum und Bibliothek Münster",51.97494,7.56732
http://www.wikidata.org/entity/Q28737644,Bibliothek der Gesellschaft für Erdkunde zu Berlin,52.42702,13.35607
