item,itemLabel,latitude,longitude
http://www.wikidata.org/entity/Q1197240,Der Sämann,50.1292,8.70158
http://www.wikidata.org/entity/Q1245251,Rudolph-Brandes-Obelisk,52.0805,8.75121
http://www.wikidata.org/entity/Q1243682,Kirchhof (Wissersheim),50.8166,6.69683
http://www.wikidata.org/entity/Q1287808,Eduard-Pape-Denkmal,51.3958,8.56781
http://www.wikidata.org/entity/Q1299989,Ehrendenkmal Auf der Hardt,51.2954,7.34613
http://www.wikidata.org/entity/Q1300200,Ehrenmal auf dem Straßburger Platz,52.275846,8.031097
http://www.wikidata.org/entity/Q1200605,Deserteurdenkmal,53.5587407,9.98918259
http://www.wikidata.org/entity/Q1258599,Weserliedanlage,51.4227,9.64897
http://www.wikidata.org/entity/Q1318506,Monument de Guillaume Ier,51.2241,6.7818
http://www.wikidata.org/entity/Q1247269,Preußengrab Ichtershausen,50.8753,10.9801
http://www.wikidata.org/entity/Q1300199,Ehrenmal der Luftwaffe,48.1917,11.2605
http://www.wikidata.org/entity/Q1200604,Denkmal für den unbekannten Deserteur,52.3977,13.0587
http://www.wikidata.org/entity/Q1300219,Ehrenmal für die Gefallenen der Flakartillerie,52.4558,13.3442
http://www.wikidata.org/entity/Q1256184,Ludwigsdenkmal,49.6329,8.3631
http://www.wikidata.org/entity/Q1279656,Eberhardsgruppe,48.7818,9.1839
http://www.wikidata.org/entity/Q1236450,Tansania-Park,53.583611,10.133889
http://www.wikidata.org/entity/Q1300220,Ehrenmal für die Gefallenen der Weltkriege Frankfurt-Seckbach,50.1499,8.72888
http://www.wikidata.org/entity/Q1322510,Kriegerdenkmal Calenberge,52.0623,11.7425
http://www.wikidata.org/entity/Q1300206,Mémorial de Radiologie,53.55903,10.01975
http://www.wikidata.org/entity/Q1188708,Denkzeichen Georg Elser,52.5123,13.3827
http://www.wikidata.org/entity/Q1299762,Ehmsendenkmal,51.3914,8.06753
http://www.wikidata.org/entity/Q1313583,Eisernes Kreuz,50.9818,13.6344
http://www.wikidata.org/entity/Q1191637,Deportationsmahnmal Schlachthoframpe,50.0654,8.24796
