item,itemLabel,latitude,longitude
http://www.wikidata.org/entity/Q46216294,Hotel Orania Berlin,52.50223,13.41685
http://www.wikidata.org/entity/Q21012613,Hotel Bareiss,48.520766,8.327738
http://www.wikidata.org/entity/Q47086530,"Kulturhaus ""Peter Edel""",52.550916,13.46175
http://www.wikidata.org/entity/Q42306236,Knickmeyer's Restaurant,52.374432,9.739641
http://www.wikidata.org/entity/Q45992024,Restaurant zum Fährhaus,53.168327,8.623612
http://www.wikidata.org/entity/Q49361954,Bahnhofstraße 1,50.899347,14.805186
http://www.wikidata.org/entity/Q47894241,Restaurant „Inselparadies“,54.36351,13.71193
http://www.wikidata.org/entity/Q57228594,Onkel Jule,54.79204,9.43328
http://www.wikidata.org/entity/Q37902178,Kulturzentrum Bürgergarten Templin,53.120954,13.492185
http://www.wikidata.org/entity/Q57939927,Stadtgarten Erfurt,50.97186,11.02349
http://www.wikidata.org/entity/Q47155310,Filmpalast Kammersäle,52.496421,13.3886913
http://www.wikidata.org/entity/Q33189243,Feuerschiff LV 13,53.5435,9.9788
http://www.wikidata.org/entity/Q41220138,Burggaststätte Neuschwanstein,47.55815,10.7486757
http://www.wikidata.org/entity/Q20184012,Steuerndieb,52.39078,9.78445
http://www.wikidata.org/entity/Q25388618,Bullerei,53.563055555556,9.9661111111111
http://www.wikidata.org/entity/Q50333437,Gasthaus Stuhlmacher,51.961888888889,7.6282777777778
http://www.wikidata.org/entity/Q48209790,Schützenhaus Pulsnitz,51.184861,14.016553
http://www.wikidata.org/entity/Q22674603,Königsworth,52.375597,9.72472
http://www.wikidata.org/entity/Q25392467,Rosenau,48.771131,9.160891
http://www.wikidata.org/entity/Q28086472,Seerose Potsdam,52.3958242,13.0462758
http://www.wikidata.org/entity/Q58395126,Schweizerhaus im Hochdorfer Garten,54.322893,8.70239
http://www.wikidata.org/entity/Q57265579,Tivoli und Thalia-Theater Chemnitz,50.82725,12.91165
http://www.wikidata.org/entity/Q57021087,Hotel zum Chattenturm,51.32743,9.17104
http://www.wikidata.org/entity/Q49594098,Katharinenstraße 4,51.55924,13.00599
http://www.wikidata.org/entity/Q55077848,Q55077848,52.51024,13.372772
http://www.wikidata.org/entity/Q25937761,Silbermühle,51.849103055556,8.9469969444444
http://www.wikidata.org/entity/Q34341703,Frauentorkiosk,47.783817,9.614748
http://www.wikidata.org/entity/Q57265402,Reichels Neue Welt,50.79057,12.92618
http://www.wikidata.org/entity/Q25384871,Restaurant Sportforum Leipzig,51.346194,12.350205
http://www.wikidata.org/entity/Q34356105,Hotel Waldhorn,47.78113,9.61345
http://www.wikidata.org/entity/Q20479672,Lindeneck,50.82991,10.95201
http://www.wikidata.org/entity/Q56507674,Kursaal Bad Wildbad,48.747755555556,8.5488805555556
http://www.wikidata.org/entity/Q57547255,Schützenhaus Oelsnitz,50.421083,12.169667
http://www.wikidata.org/entity/Q34369103,Zunfthaus der Rebleute,47.781028,9.613128
http://www.wikidata.org/entity/Q45295153,Hotel St. Michael (Tauberbischofsheim),49.618465,9.653117
http://www.wikidata.org/entity/Q34337851,Altes Lädele,47.782311,9.612523
http://www.wikidata.org/entity/Q49322251,Volkshaus Colosseum,50.822596,12.893135
http://www.wikidata.org/entity/Q34349445,Güterschuppen am Bahnhof Ravensburg,47.786704,9.607933
http://www.wikidata.org/entity/Q34358759,Kuppelnauwirtschaft,47.786702,9.615596
http://www.wikidata.org/entity/Q49363812,Bergstraße 4,50.9536,14.894322
http://www.wikidata.org/entity/Q57201281,Kurtheater Bad Freienwalde,52.78078,14.03155
http://www.wikidata.org/entity/Q49498020,Vereinshof und Theater Crimmitschau,50.81686521511,12.386508484588
http://www.wikidata.org/entity/Q41793044,Katzencafé,53.072665,8.810025
http://www.wikidata.org/entity/Q28861375,Restaurant ROCA,52.5055439,13.332835
http://www.wikidata.org/entity/Q45916593,Estehof,53.51178,9.72972
http://www.wikidata.org/entity/Q57947954,Stadthalle Zeulenroda,50.64904,11.97755
http://www.wikidata.org/entity/Q57290809,Casino (Uerdingen),51.35313,6.65212
http://www.wikidata.org/entity/Q47036565,Turma-Flora-Filmtheater,52.485586,13.356035
http://www.wikidata.org/entity/Q46216294,Hotel Orania Berlin,52.501944444444,13.416111111111
http://www.wikidata.org/entity/Q28152363,"Restaurant ""Zum Tontopf""",51.753972,11.4545
http://www.wikidata.org/entity/Q34340502,Fachwerkhaus Grüner-Turm-Straße 5,47.783833,9.613858
http://www.wikidata.org/entity/Q57201554,Kurhaus Bad Liebenzell,48.771025,8.732568
http://www.wikidata.org/entity/Q39933744,Zur Kugelsburg,51.41362,9.12966
http://www.wikidata.org/entity/Q28661148,Stadthalle Hamburg,53.59218,10.02955
http://www.wikidata.org/entity/Q57655361,Walhalla-Singspielhallen,51.51304,7.44968
http://www.wikidata.org/entity/Q104033620,Kaiserkrone Brieske,51.5062,13.97316
http://www.wikidata.org/entity/Q107506901,Niemtscher Mühle,51.497352,13.988388
http://www.wikidata.org/entity/Q105265963,Neustadthalle,51.02448,14.21025
http://www.wikidata.org/entity/Q103820559,El Toro,51.726124,14.331354
http://www.wikidata.org/entity/Q104457986,Restaurant Pietsch,51.835274,10.789007
http://www.wikidata.org/entity/Q107542089,Jüttendorfer Anger 20,51.519455221678,13.998622296112
http://www.wikidata.org/entity/Q104129142,Schaumberg Alm,49.48602,7.02912
http://www.wikidata.org/entity/Q106744085,Karthäuser,49.7952717,9.9358341
http://www.wikidata.org/entity/Q98593064,Kulturhaus Schmiedefeld,50.6024,10.81683
http://www.wikidata.org/entity/Q94996514,Hof Nürnberg,50.06162,8.16361
http://www.wikidata.org/entity/Q98444697,Volkshaus Rötha,51.19978,12.42018
http://www.wikidata.org/entity/Q100788097,"Restaurant und Sommerfrische ""Lützelhöhe""",50.91595,13.05892
http://www.wikidata.org/entity/Q105197470,Schützenhaus Mücheln,51.30009,11.80281
http://www.wikidata.org/entity/Q97395436,NV-Vietnamesische Kueche,51.746298,14.328273
http://www.wikidata.org/entity/Q98456958,Stadthalle Frankfurt (Oder),52.3305,14.55396
http://www.wikidata.org/entity/Q107579016,Hanseatenstraße 2/Seeadlerstraße 2,51.51098432941,13.989834597129
http://www.wikidata.org/entity/Q100428037,Mythos,51.760838,14.336739
http://www.wikidata.org/entity/Q99507402,Stadtpark,51.533888888889,9.9430555555556
http://www.wikidata.org/entity/Q105271547,Schützenhaus Neuzelle,52.09559,14.64816
http://www.wikidata.org/entity/Q105037918,Kulturhaus Beerheide,50.4763726,12.4276076
http://www.wikidata.org/entity/Q99895723,Kulturhaus Kändler,50.856539,12.793938
http://www.wikidata.org/entity/Q96971783,Restaurant Shiva,51.761609,14.335887
http://www.wikidata.org/entity/Q98690605,Neu-Helgoland,53.2263877,8.8867065
http://www.wikidata.org/entity/Q106571497,Gewerbehaus (Dresden),51.05308,13.73098
http://www.wikidata.org/entity/Q99895365,Parkschänke,50.85282,12.75132
http://www.wikidata.org/entity/Q98549285,Schützenhaus Zur Louisenlust,50.85951,11.73781
http://www.wikidata.org/entity/Q104456676,Zeitwerk,51.834372,10.789754
http://www.wikidata.org/entity/Q98116402,Alchimistenklause,51.50332,11.9664
http://www.wikidata.org/entity/Q100151783,Quadrium,48.69028,9.4179
http://www.wikidata.org/entity/Q108799067,Fichtekränzi,50.10473,8.68909
http://www.wikidata.org/entity/Q105423931,Gratweil's Bierhallen,52.50934,13.40106
http://www.wikidata.org/entity/Q105045813,Kurhaus Bad Dürrheim,48.01721,8.53571
http://www.wikidata.org/entity/Q98537530,Stadtwächter,51.760579,14.331325
http://www.wikidata.org/entity/Q99933735,Kurhaus am Titisee,47.9012473,8.1505458
http://www.wikidata.org/entity/Q104704721,Hotel und Restaurant Zum Riesen,49.58326,9.36894
http://www.wikidata.org/entity/Q100707337,Filmtheater Crivitz,53.57529,11.64958
http://www.wikidata.org/entity/Q106583041,Strandhalle Grömitz,54.1443784,10.9616883
http://www.wikidata.org/entity/Q100997994,Kulturhaus Borstendorf,50.7718,13.17945
http://www.wikidata.org/entity/Q105163489,Stadthalle Alzey,49.7444444,8.1155556
http://www.wikidata.org/entity/Q96800889,Cơm Phở Việt,51.760757,14.3333
http://www.wikidata.org/entity/Q104033858,Waldschloß,53.866208423398,8.6525058746338
http://www.wikidata.org/entity/Q106368534,Haus Telsemeyer,52.315638888889,7.7796944444444
http://www.wikidata.org/entity/Q95541855,Alte Brennerei Hellmann,51.8368834,7.4028111
