item,itemLabel,latitude,longitude
http://www.wikidata.org/entity/Q801597,Bahnhof Westig,51.3745,7.75785
http://www.wikidata.org/entity/Q801449,Bahnhof Spaichingen,48.069,8.74015
http://www.wikidata.org/entity/Q801439,Bahnhof Siebenbrunn,50.3084,12.302
http://www.wikidata.org/entity/Q801414,Bahnhof Schulterblatt,53.562144,9.958572
http://www.wikidata.org/entity/Q801373,Bahnhof Rosbach v d Höhe,50.298,8.70122
http://www.wikidata.org/entity/Q801591,Bahnhof Werdohl,51.2593,7.75831
http://www.wikidata.org/entity/Q801518,Bahnhof Tittmoning,48.059705845705,12.768635967248
http://www.wikidata.org/entity/Q801540,Bahnhof Türkismühle,49.5804,7.11469
http://www.wikidata.org/entity/Q801570,Bahnhof Völklingen,49.2488,6.84928
http://www.wikidata.org/entity/Q801417,Gare de Schwanheide,53.428,10.6901
http://www.wikidata.org/entity/Q801421,Seddin,52.2958,12.9956
http://www.wikidata.org/entity/Q801469,Bahnhof Stommeln,51.0181,6.75222
http://www.wikidata.org/entity/Q801402,Bahnhof Schalksmühle,51.2406,7.53275
http://www.wikidata.org/entity/Q801561,gare de Viersen,51.2547,6.40417
http://www.wikidata.org/entity/Q801471,Bahnhof Stuttgart-Feuerbach,48.8136,9.16889
http://www.wikidata.org/entity/Q801556,Bahnhof Veitshöchheim,49.830555555556,9.8761111111111
http://www.wikidata.org/entity/Q801612,Bahnhof Wiesbaden-Igstadt,50.0822,8.32556
http://www.wikidata.org/entity/Q801596,Westerland (Sylt),54.906667,8.311667
http://www.wikidata.org/entity/Q801589,Bahnhof Weiterstadt,49.9094,8.5791
http://www.wikidata.org/entity/Q801517,Bahnhof Titisee,47.903465,8.155121
http://www.wikidata.org/entity/Q801571,Bahnhof Waidhaus,49.639696486168,12.496269575861
http://www.wikidata.org/entity/Q801631,Bahnhof Wuppertal-Beyenburg,51.2486,7.29056
http://www.wikidata.org/entity/Q801526,Triesdorf,49.2017,10.6783
http://www.wikidata.org/entity/Q801566,Bahnhof Vohenstrauß,49.6273,12.3365
http://www.wikidata.org/entity/Q801407,Bahnhof Schifferstadt,49.3919,8.36444
http://www.wikidata.org/entity/Q801412,Bahnhof Schmalkalden,50.7201,10.4378
http://www.wikidata.org/entity/Q801475,Bahnhof Stuttgart-Münster,48.8206,9.21597
http://www.wikidata.org/entity/Q801476,Bahnhof Stuttgart-Obertürkheim,48.7617,9.26806
http://www.wikidata.org/entity/Q801401,Bahnhof Schee,51.321,7.23574
http://www.wikidata.org/entity/Q801538,Haltepunkt Töppeln,50.8906,12.0061
http://www.wikidata.org/entity/Q801461,Bahnhof Steinfurt-Burgsteinfurt,52.1477,7.32986
http://www.wikidata.org/entity/Q801565,Bahnhof Visselhövede,52.9797,9.56639
http://www.wikidata.org/entity/Q801628,Bahnhof Wrexen,51.5147,9.00278
http://www.wikidata.org/entity/Q801464,Bahnhof Stolberg-Atsch,50.7919,6.20659
http://www.wikidata.org/entity/Q801575,Bahnhof Wallau (Lahn),50.9228,8.46972
http://www.wikidata.org/entity/Q801588,Bahnhof Weischlitz,50.4486,12.0607
http://www.wikidata.org/entity/Q801462,Steinach (b Rothenburg ob der Tauber),49.453216,10.273575
http://www.wikidata.org/entity/Q801467,Bahnhof Stolpe (Kr Niederbarnim),52.6614,13.2864
http://www.wikidata.org/entity/Q801490,Stuttgart Schwabstraße,48.7702,9.15653
http://www.wikidata.org/entity/Q801452,Bahnhof St. Arnold,52.2081,7.4025
http://www.wikidata.org/entity/Q801577,Bahnhof Walporzheim,50.5326,7.0799
http://www.wikidata.org/entity/Q801614,Bahnhof Winden (Pfalz),49.0955,8.12257
http://www.wikidata.org/entity/Q801380,Bahnhof Rotenburg (Wümme),53.1122,9.39
http://www.wikidata.org/entity/Q801611,Bahnhof Wiesbaden-Dotzheim,50.0765,8.20368
http://www.wikidata.org/entity/Q801377,Bahnhof Rosengarten,49.6341,8.38347
http://www.wikidata.org/entity/Q801572,Bahnhof Waldstraße,50.0607,8.23213
http://www.wikidata.org/entity/Q801508,Bahnhof Tannheim (Württ),47.9949,10.0965
http://www.wikidata.org/entity/Q801526,Triesdorf,49.200249,10.680029
http://www.wikidata.org/entity/Q801395,St. Georgen (Schwarzw),48.1239,8.34222
http://www.wikidata.org/entity/Q801487,Bahnhof Stuttgart Neckarpark,48.7922,9.24083
http://www.wikidata.org/entity/Q801409,Schliersee,47.7353,11.8604
http://www.wikidata.org/entity/Q801381,Ruhland,51.4531,13.8661
http://www.wikidata.org/entity/Q801398,Bahnhof Sarnau,50.8726,8.76933
http://www.wikidata.org/entity/Q801386,gare de Röntgental,52.6487,13.5136
http://www.wikidata.org/entity/Q801536,Bahnhof Tübingen West,48.52,9.0385
http://www.wikidata.org/entity/Q801390,Bahnhof Sachsenheim,48.9614,9.06333
http://www.wikidata.org/entity/Q801630,Bahnhof Wulfen (Westfalen),51.719,7.01144
http://www.wikidata.org/entity/Q801422,Bahnhof Schönheide Süd,50.474,12.5152
http://www.wikidata.org/entity/Q801497,Bahnhof Sömmerda,51.1656,11.1281
http://www.wikidata.org/entity/Q801482,Bahnhof Stuttgart-Weilimdorf,48.8219,9.09417
http://www.wikidata.org/entity/Q801621,Bahnhof Witten-Annen Nord,51.4477,7.3762
http://www.wikidata.org/entity/Q801489,Bahnhof Störnstein,49.731473101537,12.21532532127
http://www.wikidata.org/entity/Q801632,Bahnhof Wuppertal-Cronenberg,51.2067,7.13639
http://www.wikidata.org/entity/Q801465,Steinheim,50.1214,8.90667
http://www.wikidata.org/entity/Q801590,Wendlingen (Neckar),48.6731,9.37333
http://www.wikidata.org/entity/Q801488,Bahnhof Stuttgart West,48.768388888889,9.1453333333333
http://www.wikidata.org/entity/Q801599,Bahnhof Wetter (Ruhr),51.3867,7.38593
http://www.wikidata.org/entity/Q801629,Gare de Wrist,53.9331,9.7492
http://www.wikidata.org/entity/Q801543,Gare de Ulzburg Süd,53.7733,9.97306
http://www.wikidata.org/entity/Q801483,Bahnhof Stuttgart-Österfeld,48.7375,9.1166666666667
http://www.wikidata.org/entity/Q801387,Bahnhof Rüdesheim (Rhein),49.9771,7.91561
http://www.wikidata.org/entity/Q801408,Bahnhof Schleusingen,50.5086,10.7439
http://www.wikidata.org/entity/Q801542,Bahnhof Undenheim-Köngernheim,49.84,8.23843
http://www.wikidata.org/entity/Q801419,Schwenningen (Neckar),48.06,8.5356
http://www.wikidata.org/entity/Q801468,Stendal Hauptbahnhof,52.594444,11.854444
http://www.wikidata.org/entity/Q801624,Alfter-Witterschlick gare,50.6895,7.02587
http://www.wikidata.org/entity/Q801392,Salzgitter-Ringelheim,52.0381,10.3144
http://www.wikidata.org/entity/Q801481,Bahnhof Stuttgart-Zuffenhausen,48.8292,9.16667
http://www.wikidata.org/entity/Q801486,Bahnhof Stuttgart Neuwirtshaus (Porscheplatz),48.8339,9.15251
http://www.wikidata.org/entity/Q801504,Bahnhof Tamm (Württ),48.9217,9.12528
http://www.wikidata.org/entity/Q801415,Schnega,52.8669,10.8931
http://www.wikidata.org/entity/Q801478,Bahnhof Stuttgart-Vaihingen,48.7267,9.11306
http://www.wikidata.org/entity/Q801456,Bahnhof Staffel,50.3993,8.0464
http://www.wikidata.org/entity/Q801573,Bahnhof Waldmünchen,49.377680555556,12.698741666667
http://www.wikidata.org/entity/Q801559,Bahnhof Villingen (Oberhessen),50.5074,8.93037
http://www.wikidata.org/entity/Q801411,Bahnhof Schlüchtern,50.3411,9.50967
http://www.wikidata.org/entity/Q801427,Senftenberg,51.5267,14.0036
